@relation DRS

@attribute wescore numeric
@attribute overallrating numeric
@attribute qualification numeric
@attribute class {HR,R,NR}

@data
2,1.528072,1,R
2.4,1.44151,1,R
2,1.625037,1,R
1.8,1.397874,1,NR
3,1.444339,1,R
2,1.610526,2,R
2.4,1.465094,3,R
2.6,1.455485,1,R
2.2,1.801696,1,R
2,1.588659,2,R
3,1.350409,3,R
2.4,1.52173,3,R
2.4,1.608919,3,R
2.6,1.367516,1,R
3,1.315789,3,R
2.2,1.502685,2,R
2.4,1.288477,2,R
1.4,1.506022,2,R
3,1.458081,1,R
2.4,1.425629,1,R
2.2,1.816129,2,R
3,1.129831,1,NR
1.8,1.657717,1,R
2.6,1.444628,2,R
2.6,1.551738,1,R
2.2,1.358291,1,NR
3,1.801704,2,R
2.4,1.423448,3,R
3,1.50081,1,R
2,1.823592,3,R
1.6,1.849596,1,R
2.4,1.152879,2,R
3,2.229133,2,R
3,1.688722,1,R
3,1.489085,2,R
3,1.189547,1,R
2.2,1.524202,2,R
2.4,1.411166,2,R
3,1.718883,1,R
2.4,1.543374,3,R
2.6,1.708481,2,R
1.8,1.482668,2,R
1.4,1.414589,1,NR
3,1.330392,3,R
2.2,1.299128,1,NR
2.6,1.326903,3,R
2.4,1.381291,1,R
3,2.695025,2,HR
1.4,1.41957,1,NR
3,1.351044,3,R
3,1.534874,3,R
3,1.902864,1,R
2.6,1.333964,2,R
3,1.533438,3,R
2.6,1.975335,2,R
2.4,1.493998,3,R
2.6,1.315789,2,R
2,1.399798,1,NR
3,1.628276,2,R
2.6,1.571102,1,R
1,1.853587,3,R
3,1.543541,3,R
3,1.434868,3,R
2.6,1.269874,2,R
3,1.582271,2,R
2.4,1.842489,2,R
2,1.315789,2,R
2,1.433573,1,NR
2.2,1.592662,3,R
2.2,1.383949,1,NR
3,1.327863,1,R
2.4,1.341469,1,NR
2.6,2.668949,2,HR
2.4,1.457961,3,R
3,1.315789,2,R
3,1.201034,2,R
3,1.551316,2,R
3,1.574561,1,R
2,1.29097,1,NR
3,1.287081,1,R
1,1.890469,2,R
3,1.51174,3,R
1.8,1.246154,1,NR
2.2,1.994272,2,R
3,1.375024,3,R
2.4,1.778064,2,R
3,1.423806,1,R
3,1.498297,2,R
2,1.238788,3,R
2.6,1.554067,1,R
3,1.777227,3,R
2.6,1.964638,1,R
3,1.639626,1,R
3,1.65587,3,R
3,1.576451,3,R
2.2,1.388707,2,R
3,1.227919,2,R
2.2,2.319535,1,R
3,1.322625,2,R
2.6,1.417734,2,R
3,1.443155,2,R
1.8,1.930102,1,R
3,1.403643,3,R
3,1.347758,2,R
3,1.581638,1,R
3,1.454507,2,R
2.6,2.157895,1,R
3,1.231225,3,R
2.4,1.452897,3,R
2.4,1.408115,3,R
2.6,1.401574,2,R
3,1.672523,2,R
2.6,1.315789,1,R
2.6,1.243148,2,R
1.4,1.530075,2,R
2.4,1.54936,1,R
1,1.637119,1,NR
2.4,1.569994,3,R
2.6,1.67874,1,R
1.6,1.391523,1,NR
3,1.320706,1,R
3,1.37538,1,R
3,1.613392,1,R
1,1.433923,2,NR
3,1.356275,3,R
3,1.368344,2,R
3,1.315789,1,R
3,1.549175,3,R
3,1.81807,1,R
3,1.315789,3,R
1.4,1.333851,1,NR
3,1.460913,3,R
3,1.345002,1,R
3,1.41101,1,R
1.6,1.23085,2,NR
2.4,1.425629,2,R
3,1.473684,3,R
3,1.393915,3,R
3,1.579783,2,R
3,1.465754,3,R
2.6,1.575034,2,R
2,1.61116,3,R
2.2,1.401665,3,R
2.2,1.728421,1,R
3,1.447136,2,R
2,1.231379,3,R
2.6,1.782841,1,R
2.2,1.497166,1,R
2,1.581395,3,R
2.6,1.541245,2,R
3,1.526316,2,R
3,1.315789,3,R
2.6,1.446348,1,R
3,1.351411,3,R
1.6,1.625561,3,R
2.4,1.534579,1,R
3,1.337887,3,R
2,1.335001,2,R
3,1.378137,3,R
2,1.663117,1,R
3,1.332582,2,R
2.4,1.430075,3,R
2.2,1.716023,1,R
2.6,1.667248,3,R
2.4,1.554017,1,R
3,1.514788,1,R
2.6,1.315789,2,R
3,1.499251,3,R
3,1.518417,1,R
2.6,1.284434,1,NR
2.6,1.842105,1,R
1.4,1.281196,1,NR
2.6,1.479892,2,R
3,1.262159,2,R
2.4,1.518417,2,R
2.2,1.364932,2,R
3,1.34218,3,R
2.6,1.839252,3,R
2.6,1.714226,1,R
2.2,1.551147,2,R
3,1.422854,2,R
1.6,1.339748,3,R
2.4,1.485314,2,R
1.6,1.744905,1,R
3,1.710028,1,R
2.4,1.304664,1,NR
1.8,1.334196,2,R
2.2,1.396761,1,NR
3,1.535093,3,R
2,1.498427,1,NR
1.4,1.541058,2,R
2.2,1.485956,1,R
2.2,1.453249,3,R
1.6,1.54191,3,R
1.8,1.853463,1,R
3,1.694086,3,R
3,1.631256,3,R
3,1.315789,3,R
1.6,1.311132,2,R
2,1.410311,2,R
3,1.581226,2,R
2.6,1.605371,1,R
2.2,1.402821,3,R
3,1.435223,3,R
2,1.738244,1,R
3,1.267514,2,R
3,1.411422,1,R
3,1.389867,2,R
2.2,1.494205,3,R
2.4,1.576432,1,R
2,2.020744,1,R
2.4,1.607209,3,R
3,1.347236,2,R
1,1.479268,2,NR
2,1.242105,1,NR
2.4,1.40982,3,R
1.6,1.949584,2,R
2.2,1.315789,3,R
2.4,1.436411,1,R
